OBJECTID,SITEID,NAME,WEB_PAGE,BOAT FACILITY,CAMPING,HUNTING,PDFMAP,HUNT_ACCESS,ACRES,LATITUDE,LONGITUDE,MGMT_ID,x,y
38749,283561,Glasgow Base Pond,https://myfwp.mt.gov/fishMT/fas/39754325,"Hand Launch, Dock",Yes,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754325.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,16,48.44867,-106.57695,39754325,-11864093.4845,6181826.6132
38750,283567,Duck Creek,https://myfwp.mt.gov/fishMT/fas/39754329,Ramp (Concrete),No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754329.pdf,,12,47.98612,-106.5252,39754329,-11858332.6942,6104547.4331
38751,283858,Rosebud West,https://myfwp.mt.gov/fishMT/fas/39754403,Ramp (Concrete),No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754403.pdf,,9,46.26319,-106.69468,39754403,-11877198.9442,5822626.8337
38752,283528,Whitetail Reservoir,https://myfwp.mt.gov/fishMT/fas/39754311,Ramp (Gravel),No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754311.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,64,48.8914,-105.15664,39754311,-11705984.8125,6256455.6493
38753,283847,Kinsey Bridge,https://myfwp.mt.gov/fishMT/fas/39754397,Ramp (Concrete),No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754397.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,28,46.53358,-105.71289,39754397,-11767906.758,5866273.9291
38754,280636,Hannon Memorial,https://myfwp.mt.gov/fishMT/fas/39754135,Hand Launch,Yes,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754135.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,58,45.97282,-114.1401,39754135,-12706019.4037,5775996.2082
38755,279985,Pressentine,https://myfwp.mt.gov/fishMT/fas/39754009,Ramp (Gravel),No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754009.pdf,,11,48.2914,-114.22345,39754009,-12715298.1614,6155471.6348
38756,279957,Old Steel Bridge,https://myfwp.mt.gov/fishMT/fas/39754005,No Boat Facilities,No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754005.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,128,48.20883,-114.25579,39754005,-12718898.3318,6141667.9481
38757,280202,Somers,https://myfwp.mt.gov/fishMT/fas/39754047,"Ramp (Concrete), Dock",No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754047.pdf,,2,48.07748,-114.23552,39754047,-12716641.2081,6119755.5095
38758,279990,Sportsmans Bridge,https://myfwp.mt.gov/fishMT/fas/39754011,Ramp (Concrete),No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754011.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,6,48.0908,-114.1176,39754011,-12703490.7214,6121959.6792
38759,280143,Woods Bay,https://myfwp.mt.gov/fishMT/fas/39754037,"Dock, Ramp (Concrete)",No,NO HUNTING,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39754037.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,12,48.00054,-114.06327,39754037,-12697467.1458,6106945.6886
38760,282618,Big Bend,https://myfwp.mt.gov/fishMT/fas/39753702,Ramp (Concrete),No,HUNTING ALLOWED,https://fwp.mt.gov/binaries/content/assets/fwp/gisresources/visitmaps/fas/39753702.pdf,Refer to current hunting regulations for hunting and weapons restrictions.,17,47.38983,-111.34015,39753702,-12394330.0789,6005939.2545
